ID;Short Name;Long Name;Route Type;Color;geo_point_2d;stop_ids
RTM-12;7;Foch 5 Avenues - Les 3 Lucs Enco de Botte;Bus;FBBA00;43.30800701827458, 5.433437510100286;['RTM-00003133', 'RTM-00000858', 'RTM-00000814', 'RTM-00000816', 'RTM-00000854', 'RTM-00002922', 'RTM-00003677', 'RTM-00003682', 'RTM-00003682', 'RTM-00003678', 'RTM-00000820', 'RTM-00000845', 'RTM-00000826', 'RTM-00000826', 'RTM-00000828', 'RTM-00000836', 'RTM-00000836', 'RTM-00000836', 'RTM-00000826', 'RTM-00000843', 'RTM-00000845', 'RTM-00000845', 'RTM-00000847', 'RTM-00000848', 'RTM-00000849', 'RTM-00000850', 'RTM-00003679', 'RTM-00000941', 'RTM-00000853', 'RTM-00000854', 'RTM-00000859', 'RTM-00004464', 'RTM-00003087', 'RTM-00003349']
RTM-62;18;Castellane - Le Bosquet;Bus;814997;43.283232895798136, 5.420744008186452;['RTM-00004101', 'RTM-00001263', 'RTM-00001315', 'RTM-00001265', 'RTM-00001266', 'RTM-00001267', 'RTM-00001268', 'RTM-00001270', 'RTM-00001271', 'RTM-00001272', 'RTM-00001273', 'RTM-00001275', 'RTM-00001278', 'RTM-00001279', 'RTM-00001279', 'RTM-00001281', 'RTM-00001282', 'RTM-00001283', 'RTM-00001283', 'RTM-00001284', 'RTM-00001285', 'RTM-00001286', 'RTM-00001289', 'RTM-00001290', 'RTM-00001291', 'RTM-00001293', 'RTM-00001294', 'RTM-00001295', 'RTM-00001283', 'RTM-00001296', 'RTM-00001299', 'RTM-00001279', 'RTM-00001279', 'RTM-00001304', 'RTM-00001306', 'RTM-00001273', 'RTM-00001267', 'RTM-00001315', 'RTM-00001315', 'RTM-00001317', 'RTM-00001315', 'RTM-00001315', 'RTM-00001317', 'RTM-00001304', 'RTM-00001306', 'RTM-00001273', 'RTM-00001267', 'RTM-00001315', 'RTM-00001315', 'RTM-00001317']
RTM-81;19B;Métro Rond Point du Prado - Pointe Rouge Port;Bus;E4348B;43.256560246040365, 5.376980123107388;['RTM-00001708', 'RTM-00001708', 'RTM-00001709', 'RTM-00001724']
RTM-80;19;Castellane - Madrague de Montredon;Bus;E4348B;43.25696510425299, 5.376078644452413;['RTM-00001708', 'RTM-00001708', 'RTM-00001709', 'RTM-00001711', 'RTM-00001713', 'RTM-00001713', 'RTM-00001717', 'RTM-00001718', 'RTM-00001718', 'RTM-00001722', 'RTM-00001723', 'RTM-00001713', 'RTM-00001724']
RTM-114;20;Madrague de Montredon - Callelongue;Bus;5C2483;43.22083226279368, 5.349048551431927;['RTM-00001718', 'RTM-00002354', 'RTM-00002359', 'RTM-00002359', 'RTM-00002360', 'RTM-00002360', 'RTM-00002360', 'RTM-00002360', 'RTM-00002359', 'RTM-00002359', 'RTM-00002364', 'RTM-00002365', 'RTM-00001718']
RTM-140;21JET;Métro Rond Point du Prado - Campus de Luminy;Bus;F07F3C;43.24780657349812, 5.4185807841001665;['RTM-00003585', 'RTM-00004112', 'RTM-00004479', 'RTM-00001761', 'RTM-00001761', 'RTM-00001764', 'RTM-00001773', 'RTM-00001769', 'RTM-00004348', 'RTM-00004350', 'RTM-00004351', 'RTM-00001773', 'RTM-00001775', 'RTM-00001778', 'RTM-00004479', 'RTM-00003585']
RTM-89;22S;Métro Rond Point du Prado - La Seigneurie;Bus;E63323;43.25079876570647, 5.401188318351665;['RTM-00004112', 'RTM-00001752', 'RTM-00001797', 'RTM-00001798', 'RTM-00001799', 'RTM-00001799', 'RTM-00001799', 'RTM-00001801', 'RTM-00001802', 'RTM-00001804', 'RTM-00001804', 'RTM-00001819', 'RTM-00001806', 'RTM-00001806', 'RTM-00001806', 'RTM-00001830', 'RTM-00001830', 'RTM-00001831', 'RTM-00001832', 'RTM-00001834', 'RTM-00001834', 'RTM-00001831', 'RTM-00002659', 'RTM-00001817', 'RTM-00001819', 'RTM-00001819', 'RTM-00001822', 'RTM-00001801', 'RTM-00001827', 'RTM-00001827', 'RTM-00001828', 'RTM-00001828', 'RTM-00002440', 'RTM-00001753']
RTM-87;23;Métro Rond Point du Prado - Beauvallon;Bus;F39200;43.24708912651595, 5.3974315731760525;['RTM-00004114', 'RTM-00004112', 'RTM-00001840', 'RTM-00001840', 'RTM-00002745', 'RTM-00001842', 'RTM-00001799', 'RTM-00001844', 'RTM-00001848', 'RTM-00001849', 'RTM-00001850', 'RTM-00001851', 'RTM-00001853', 'RTM-00001859', 'RTM-00001862', 'RTM-00001862', 'RTM-00001859', 'RTM-00001858', 'RTM-00001869', 'RTM-00001870', 'RTM-00001873', 'RTM-00001874', 'RTM-00002745', 'RTM-00002745', 'RTM-00001840', 'RTM-00004114']
RTM-4;25;Métro Gèze - St Antoine;Bus;E63329;43.35310364027875, 5.35190024219977;['RTM-00004030', 'RTM-00003963', 'RTM-00000014', 'RTM-00000037', 'RTM-00000017', 'RTM-00000017', 'RTM-00000317', 'RTM-00003731', 'RTM-00000025', 'RTM-00004307', 'RTM-00004307', 'RTM-00000028', 'RTM-00002642', 'RTM-00000317', 'RTM-00000017', 'RTM-00000037', 'RTM-00000037', 'RTM-00000037', 'RTM-00000037', 'RTM-00000040', 'RTM-00004023', 'RTM-00004024', 'RTM-00004025', 'RTM-00004027', 'RTM-00004028', 'RTM-00004029', 'RTM-00004030']
RTM-133;28B;Métro Bougainville - Bertrandon;Bus;E63329;43.32379951902303, 5.379273356142217;['RTM-00000099', 'RTM-00000518', 'RTM-00000100', 'RTM-00000100', 'RTM-00000100', 'RTM-00002011', 'RTM-00000103', 'RTM-00000103', 'RTM-00000103', 'RTM-00000104', 'RTM-00000105', 'RTM-00000106', 'RTM-00000138', 'RTM-00000141', 'RTM-00000103', 'RTM-00000488', 'RTM-00000145']
