ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00004423;;Métro La Timone;43.291696, 5.400162;BOULEVARD JEAN MOULIN  MARSEILLE 13005;;;0;;;1
RTM-00004249;;Métro National;43.31526, 5.373133;RUE RENÉ CASSIN  MARSEILLE 13003;;;0;;;2
RTM-00004409;;Métro Notre Dame du Mont;43.29334857, 5.38239782;33 COURS LIEUTAUD  MARSEILLE 13006;;;0;;;1
RTM-00001083;;Métro Rond Point du Prado;43.27137407, 5.38937867;AVENUE DU PRADO  MARSEILLE 13008;;;0;;;1
RTM-00002808;;Métro Rond Point du Prado;43.272004, 5.390784;AVENUE DU PRADO  MARSEILLE 13008;;;0;;;1
RTM-00003585;;Métro Rond Point du Prado;43.270788, 5.392619;BOULEVARD MICHELET  MARSEILLE 13008;;;0;;;1
RTM-00004112;;Métro Rond Point du Prado;43.271977, 5.391944;;;;0;;;1
RTM-00000972;;Métro St Barnabé;43.3037981, 5.4193908;ligne 9;;;0;;;2
RTM-00003762;;Métro St Barnabé;43.303716, 5.419413;ligne 10;;;0;;;2
RTM-00001639;;Métro Ste Marguerite Dromel;43.27124471, 5.40393238;arrêt de dépose 15/15S/16/16S/17;;;0;;;2
RTM-00001641;;Métro Ste Marguerite Dromel;43.27093512, 5.40328024;;;;0;;;2
RTM-00001976;;Métro Ste Marguerite Dromel;43.27120747, 5.40453547;terminus 48 48T;;;0;;;2
RTM-00002317;;National;43.3151245, 5.37307901;;;;0;;;2
RTM-00003220;;National;43.301506, 5.388689;;;;0;;;1
RTM-00000207;;National Guibal;43.30535385, 5.38429856;BOULEVARD NATIONAL  MARSEILLE 13001;;;0;;;1
RTM-00004246;;National Jullien;43.31384597, 5.37428224;354 BOULEVARD NATIONAL  MARSEILLE 13003;;;0;;;1
RTM-00000377;;National Pyat;43.31219635, 5.37653807;;;;0;;;1
RTM-00000528;;National Pyat;43.312495, 5.376235;;;;0;;;1
RTM-00002322;;Noailles;43.2967735, 5.381277;;;;0;;;2
RTM-00003311;;Noailles;43.298076, 5.380914;;;;0;;;2
